1574551849.302858,0
1574551849.406321,20
1574551849.509675,19
1574551849.614682,18
1574551849.717437,17
1574551849.820119,10
1574551849.923206,12
1574551850.026720,13
1574551850.130996,12
1574551850.234669,14
1574551850.337118,15
1574551850.439730,17
1574551850.542287,19
1574551850.646054,19
1574551850.750017,20
1574551850.852555,20
1574551850.956083,20
1574551851.060112,19
1574551851.164683,19
1574551851.267995,11
1574551851.370872,6
1574551851.473790,13
1574551851.576562,19
1574551851.679522,18
1574551851.782078,4
1574551851.884656,6
1574551851.987627,7
1574551852.089753,17
1574551852.193872,19
1574551852.298543,17
1574551852.401390,1
1574551852.504047,4
1574551852.606317,6
1574551852.708783,7
1574551852.811747,8
1574551852.914547,8
1574551853.017319,10
1574551853.121209,9
1574551853.226523,10
1574551853.329792,11
1574551853.432594,12
1574551853.535454,13
1574551853.637921,15
1574551853.741577,18
1574551853.845254,12
1574551853.948229,10
1574551854.054509,12
1574551854.157008,13
1574551854.259614,15
1574551854.364782,20
1574551854.467579,20
1574551854.570595,20
1574551854.673623,3
1574551854.776273,5
1574551854.881156,7
1574551854.984456,18
1574551855.091552,20
1574551855.194387,8
1574551855.298799,3
1574551855.402854,6
1574551855.505735,8
1574551855.608410,8
1574551855.718896,9
1574551855.821409,10
1574551855.923967,11
1574551856.026331,11
1574551856.129837,13
1574551856.232423,13
1574551856.334853,15
1574551856.437682,15
1574551856.540960,20
1574551856.643977,12
1574551856.749030,12
1574551856.852433,15
1574551856.955023,15
1574551857.058297,17
1574551857.162888,17
1574551857.265498,20
1574551857.367900,19
1574551857.471532,12
1574551857.574525,6
1574551857.676754,17
1574551857.779727,19
1574551857.883818,3
1574551857.986193,5
1574551858.088797,7
1574551858.192134,7
1574551858.295029,8
1574551858.398546,9
1574551858.501795,10
1574551858.604512,10
1574551858.707098,12
1574551858.810538,12
1574551858.913824,12
1574551859.016460,14
1574551859.120498,14
1574551859.223396,19
1574551859.325914,18
1574551859.428801,18
1574551859.532593,8
1574551859.635757,9
1574551859.739309,12
1574551859.843412,20
1574551859.946767,10
1574551860.050797,2
1574551860.153779,5
1574551860.259281,11
1574551860.362064,19
1574551860.466392,20
1574551860.570143,4
1574551860.673577,3
1574551860.776336,6
1574551860.878973,6
1574551860.981520,8
1574551861.084879,8
1574551861.188365,10
1574551861.292019,11
1574551861.394456,12
1574551861.497984,14
1574551861.600244,13
1574551861.703769,14
1574551861.806058,14
1574551861.915319,17
1574551862.019185,12
1574551862.124071,9
1574551862.227521,11
1574551862.331248,14
1574551862.434825,15
1574551862.537238,16
1574551862.639495,11
1574551862.742347,19
1574551862.845058,20
1574551862.947650,17
1574551863.051219,11
1574551863.154259,20
1574551863.257268,20
1574551863.365639,17
1574551863.468973,3
1574551863.572254,5
1574551863.674538,6
1574551863.778665,5
1574551863.881780,8
1574551863.984521,9
1574551864.087482,10
1574551864.190299,11
1574551864.293214,11
1574551864.396079,12
1574551864.499446,13
1574551864.601831,14
1574551864.705270,16
1574551864.808979,9
1574551864.911935,12
1574551865.015051,14
1574551865.121436,12
1574551865.224087,19
1574551865.327534,20
1574551865.431305,19
1574551865.534461,17
1574551865.637059,2
1574551865.744441,4
1574551865.847295,6
1574551865.949858,20
1574551866.052334,20
1574551866.155566,11
1574551866.258951,5
1574551866.362020,5
1574551866.465450,7
1574551866.569360,7
1574551866.672326,9
1574551866.775071,11
1574551866.878113,11
1574551866.980798,13
1574551867.083691,12
1574551867.186321,12
1574551867.289787,15
1574551867.392638,19
1574551867.496730,19
1574551867.600829,17
1574551867.703515,11
1574551867.806217,14
1574551867.911908,12
1574551868.015585,13
1574551868.121579,18
1574551868.225740,19
1574551868.328278,19
1574551868.434690,14
1574551868.540410,12
1574551868.643493,8
1574551868.746431,20
1574551868.849725,18
1574551868.953569,12
1574551869.056703,3
1574551869.160783,6
1574551869.264136,8
1574551869.366833,9
1574551869.469969,10
1574551869.572676,10
1574551869.682975,9
1574551869.785313,11
1574551869.890766,13
1574551869.994544,13
1574551870.096892,13
1574551870.200490,15
1574551870.303116,20
1574551870.405694,14
1574551870.508377,12
1574551870.611596,14
1574551870.715998,13
1574551870.818316,16
1574551870.920999,20
1574551871.025337,19
1574551871.128302,18
1574551871.233540,18
1574551871.336118,2
1574551871.438852,4
1574551871.542312,5
1574551871.647590,20
1574551871.752107,18
1574551871.857071,2
1574551871.961667,2
1574551872.064910,4
1574551872.168738,5
1574551872.271744,8
1574551872.374400,9
1574551872.476897,9
1574551872.580773,9
1574551872.683370,10
1574551872.786504,12
1574551872.889733,13
1574551872.992754,12
1574551873.096139,15
1574551873.200525,20
1574551873.303422,16
1574551873.406281,14
1574551873.510179,17
1574551873.613270,14
1574551873.717246,20
1574551873.820746,18
1574551873.923077,12
1574551874.026326,20
1574551874.129152,19
1574551874.231673,5
1574551874.334806,7
1574551874.437259,9
1574551874.539683,9
1574551874.642297,9
1574551874.744933,9
1574551874.851109,11
1574551874.953888,10
1574551875.056359,12
1574551875.158966,12
